id,tanaman,informasi,manfaat,pengolahan
15,daun kemangi,"Tanaman kemangi sejatinya merupakan hasil persilangan antara basil biasa (Ocimum basilicum) dan basil amerika (Ocimum americanum). Kemangi memiliki aroma jeruk limau yang kuat, sehingga beberapa kalangan juga menyebutnya sebagai lemon basil. Daun ini sering bisa langsung dijadikan lalapan atau digunakan dalam berbagai olahan. Selain rasanya enak, aroma daun kemangi juga segar. Jika Anda mengolahnya dengan tepat, daun kemangi bisa jadi kudapan yang nikmat.",1. Membantu meredakan stres <br>2. Menangkal radikal bebas<br>3. Mencegah demam berdarah<br>4. Mempercepat penyembuhan luka dan mencegah infeksi<br>5. Mencegah kanker,"Pengolahan daun kemangi untuk obat: Cara membuat air rebusan daun kemangi hanya perlu menyiapkan satu ikat daun kemangi dan 3 gelas air putih. Setelah itu rebus daun kemangi hingga air mendidih. Setelah mendidih, tunggu hingga air menyusut menjadi 1 gelas saja. Kemudian saring airnya dan langsung bisa Anda minum selagi masih hangat. Minumlah air rebusan daun kemangi secara rutin sebanyak 2 kali sehari pagi dan sore hari untuk mendapatkan manfaat yang maksimal. <br> Berikut beberapa olahan lainnya: <br>
https://youtu.be/9TN76YJlHVU <br>
https://youtu.be/wByE1HfC50E 
"
17,kayu manis,"Kayu manis atau dengan nama ilmiah Cinnamomum ialah jenis pohon penghasil rempah-rempah. di dalam kamus Biologi, Cinnamomum zeylanicum Termasuk ke dalam jenis rempah-rempah yang dihasilkan dari kulit bagian dalam yang kering, yang amat beraroma, manis, dan pedas. Orang biasa menggunakan rempah-rempah dalam makanan yang dibakar manis, anggur panas dan juga dipakai secara medis.","1. Menurunkan risiko diabetes<br>2. Mengatasi nyeri menstruasi<br>3. Menurunkan risiko peradangan<br>4. Meningkatkan kadar kolesterol baik dalam tubuh<br>5. Menurunkan berat badan
","Pengolahan kayu manis untuk obat: <br> Campurkan perasan lemon dan satu sendok teh bubuk kayu manis ke air mendidih. Minumlah selagi hangat. Lemon penuh dengan vitamin dan antioksidan penting yang membuang racun dari tubuh hingga menjaga sistem pencernaan lancar. <br>Berikut beberapa olahan lainnya:<br>
https://youtu.be/BjP527P6rSE <br>
https://youtu.be/AvpycGUhTmY 
"
8,mengkudu,"Mengkudu atau pace (Morinda citrifolia L.) merupakan salah satu tanaman obat yang dalam beberapa tahun terakhir banyak peminatnya. Merupakan tanaman tropis dan liar, mengkudu dapat tumbuh di tepi pantai hingga ketinggian 1500 m dpl (di atas permukaan laut), baik di lahan subur maupun marginal.Tinggi pohon mengkudu mencapai 3–8 m, memiliki bunga bongkol berwarna putih. Buahnya merupakan buah majemuk, yang masih muda berwarna hijau mengkilap dan memiliki totol-totol, dan ketika sudah tua berwarna putih dengan bintik-bintik hitam.",1. Bantu mengatasi arthritis 2. Meningkatkan kekebalan tubuh 3.  Bantu menurunkan kolesterol 4. Menurunkan gula darah 5. Bantu meningkatkan daya tahan saat berolahraga,"Berikut cara mengolah mengkudu untuk jadi obat herbal yang baik bagi kesehatan mengutip dari tayangan channel YouTube Herbal TV yang diunggah pada 10 Januari 2017:<br>
1. Siapkan dua buah mengkudu matang dan potong menjadi dua bagian<br>
2. Ambil sari pati mengkudu dengan cara diperas. Peras mengkudu hingga semua airnya keluar<br>
3.Perasan dari air mengkudu ditambahkan satu sendok makan madu<br>
4. Aduk hingga kedunya tercampur merata<br>

https://www.youtube.com/watch?v=ulgt19vfwhA<br>
https://www.youtube.com/watch?v=PqFrJAdYyRk"
10,purwoceng,"Purwaceng, atau antanan gunung (Pimpinella pruatjan) adalah tumbuhan berkiat obat anggota suku Apiaceae. Tumbuhan pegunungan ini terkenal karena khasiat afrodisiak (meningkatkan gairah seksual) pada akarnya. Pada perkembangannya, akar biasanya diolah dalam bentuk bubuk, campuran kopi atau susu.Penampakan fisik purwaceng adalah terna kecil tumbuh mendatar di atas permukaan tanah seperti tumbuhan pegagan dan semanggi gunung namun tidak merambat. Daunnya kecil-kecil berwarna hijau kemerahan dengan diameter 1-3 cm.Purwoceng atau purwaceng (Pimpinella pruatjan) adalah jenis tanaman herbal yang banyak tumbuh di wilayah dataran tinggi. Hampir semua bagian purwoceng bisa dimanfaatkan sebagai obat tradisional, tapi yang paling sering dikonsumsi adalah akarnya.",1.Meningkatkan Stamina Pria <br>2. Mengatasi Infeksi Jamur <br>3. Mencegah Kanker<br> 4. Mengatasi Sakit Saraf <br>5. Melancarkan Peredaran Darah,"Pengolahan Purwoceng sebagai obat : Cara membuat ramuan Purwoceng ini sangatlah mudah, Umbi akar dibersihkan terlebih dahulu, kemudian ditumbuk dan direbus atau digodok. Air rebusan umbi akar Purwoceng kemudian diminum setalah didinginkan. Minum air rebusan umbi akar Purwoceng dengn rutin sehari satu gelas akan membuat stamina dan vitalitas meningkat. <br> Berikut beberapa olahan lainnya: <br>

https://www.youtube.com/watch?v=TunCxfVOGwo<br>
https://www.youtube.com/watch?v=_PQ0Iz2VnTs"
4,jinten,"Jinten (Trachyspermum roxburghianum syn. Carum roxburghianum) merupakan tumbuhan menjalar yang bijinya dapat digunakan untuk rempah-rempah dan obat-obatan. Biji tanaman ini sering digunakan sebagai bumbu dapur untuk masakan India. Tanaman ini banyak dibudidayakan di India dan Asia Tenggara. Rasanya lebih dekat kepada kelabat atau klabet daripada jenis rempah lain.Jintan atau jinten adalah rempah yang biasanya digunakan sebagai bumbu masak, minyak esensial, kosmetik, serta bahan industri farmasi. Jinten memiliki aroma harum, rasa pedas, dan sifat yang panas.",1. Mengurangi efek stres <br>2. Melawan bakteri dan parasit. <br>3. Membantu mengobati sindrom iritasi usus besar (IBS) <br>4. Mencegah sel kanker berkembang. <br>5. Dapat membantu mengobati diare.,"Pengolahan Jinten untuk obat : <br>
Caranya dengan merendam biji jintan sebanyak 2 sendok di dalam air selama 5-6 jam atau semalaman. Kemudian, rebus bijinya di pagi hari dan saring minumannya. Lalu, tambahkan jus lemon ke dalamnya dan minum dengan perut kosong selama 2 minggu. <br> Brikut beberapa olahan lainnya: <br>

https://www.youtube.com/watch?v=DYyw_saTnsY<br>
https://www.youtube.com/watch?v=0akCuvhjFK8"
5,kapulaga,"Kapulaga adalah jenis rempah asal India yang memiliki rasa gurih dan sedikit manis. Rempah ini sering digunakan sebagai penguat rasa dan aroma masakan. Kapulaga mengandung banyak mineral di dalamnya, antara lain mangan, kalsium, dan kalium.Jenis kapulaga yang banyak ditemui di Indonesia adalah Amomum Compactum (kapulaga Jawa) dan Elettaria cardamomun (kapulaga india atau kapulaga sabrang)",1. Sifat Antioksidan dan Diuretiknya Mampu Menurunkan Tekanan Darah<br> 2. Menurunkan Risiko Mengembangkan Sel Kanker <br>3. Melindungi dari Penyakit Kronis Berkat Efek Antiperadangan<br> 4. Membantu Masalah Pencernaan dan Bisul <br>5. Mengobati Bau Mulut dan Masalah Gigi Berlubang,"Pengolahan Kapulaga untuk obat  :<br> 1. Masak air hingga mendidih, masukkan satu kantong teh celup. Diamkan selama lima menit, angkat kantong teh.<br> 2. Masukkan kapulaga yang sudah disiapkan dan kayu amnsi. Masak dengan api kecil hingga aromanya tercium harum. Angkat dan saring. <br>
3. Tambahkan dengan gula batu dan aduk hingga larut. Tuang ke dalam gelas saji dan nikmati.<br>

https://www.youtube.com/watch?v=oc6C8vxgJ6I <br>
https://www.youtube.com/watch?v=Em_SpJ2eWRc"
1,akar manis,"Akar manis (liquorice) merupakan tanaman sejenis polong-polongan yang berasal dari Eropa Selatan dan beberapa bagian wilayah Asia. Akar manis termasuk tanaman tahunan berbentuk terna dan dapat tumbuh sampai satu meter dengan daun yang tumbuh seperti sayap (pinnate) yang panjangnya 7 sampai 15 cm. Daun-daunnya dapat berjumlah 9-17 helai dalam satu cabang. Bunga akar manis tersusun secara inflorescens (berkelompok dalam satu cabang),warnanya berkisar dari keunguan sampai putih kebiru-biruan serta berukuran panjang 0,8-1,2 cm. Buah akar manis berpolong dan berbentuk panjang sekitar 2–3 cm, dan mengandung biji.",1. Meredakan Sakit Perut <br>2. Mengatasi Batuk dan Sakit Tenggorokan <br>3. Meredakan Gejala PMS <br>4. Meningkatkan Kekebalan Tubuh <br>5. Mencerahkan Kulit Ketiak dan Melindungi Kulit <br>6. Memperlancar Pernapasan <br>7. Mengatasi Nyeri Ulu Hati <br>8. Membantu Perawatan Kanker,"Pengolahan akar manis di rumah bisa menggunakan air hangat. Siapkan 2 ruas akar licorice kering (dipotong-potong 1 inci), air, 1 sendok teh madu atau gula. Didihkan air dalam panci, tambahkan potongan akar manis ke dalam air. Angkat dari api dan biarkan campuran meresap 5-6 menit. Tambahkan madu atau gula untuk rasa, dan minumlah. <br> Berikut beberapa olahan lainnya: <br>

https://youtu.be/22sXQ3589_k<br>"
2,daun jambu mete,"Jambu mete, jambu monyet atau jambu mede (Anacardium occidentale) adalah sejenis tanaman dari suku Anacardiaceae yang berasal dari Brasil dan memiliki ""buah"" yang dapat dimakan. Yang lebih terkenal dari jambu mede adalah kacang mede, kacang mete atau kacang mente; bijinya yang biasa dikeringkan dan digoreng untuk dijadikan berbagai macam penganan. Mete merupakan biji yang memiliki karakteristik dengan bentuk melengkung dan dapat dimakan. Biji jambu mete tinggi akan kandungan minyak dan memiliki rasa yang khas, serta kaya akan kandungan protein yang berkualitas premium. Daunnya pun sering dijadikan sebagai obat herbal. ",1. Mengatasi Sembelit <br>2. Mengatasi Penyakit Kulit <br>3. Mengobati Sariawan<br> 4. Mengobati Darah Tinggi <br>5. Mengatasi Sakit Disentri <br>6. Mengobati Radang Mulut <br>7. Mengobati Rematik atau Nyeri Sendi<br> 8. Menyembuhkan Pegal Linu <br>9. Mengobati Flu <br>10. Mengatasi Hipertensi <br>11. Menyembuhkan Bronkitis <br>12. Meningkatkan Libido,"Pengolahan daun jambu mete dilakukan dengan cara merebus daun jambu monyet dengan 500 ml air sampai tersisa sekitar 250 ml. Setelah itu, diamkan sebentar sampai dingin, lalu minum air rebusan tersebut dua kali dalam sehari setiap pagi atau sore. <br> Berikut beberapa olahan lainnya: <br>

https://youtu.be/M_bxJUsyoKs"
9,meniran,"Meniran atau Phyllanthus urinaria adalah salah satu jenis tanaman yang memiliki bentuk batang bulat tegak lurus, tinggi tanaman bisa mencapai satu meter lebih dalam kondisi tanah subur. Meniran tumbuh subur di tempat yang lembap pada dataran rendah sampai ketinggian 1000 meter di atas permukaan laut. Senyawa kimia yang terkandung di dalam tubuh meniran adalah zat filantin, kalium, damar dan zat penyamak.",1. Membantu Daya Tahan Tubuh<br> 2. Bersifat Antikanker<br> 3. Menurunkan Kadar Gula Darah <br>4. Baik untuk Kesehatan Hati <br>5. Mengatasi Batu Ginjal<br> 6. Memiliki Efek Diuretik <br>7. Mencegah Peradangan <br>8. Mengurangi Sekresi Asam Lambung <br>9. Mencegah Virus 10. Antioksidan Tinggi,"Pengolahan meniran dapat dilakukan dengan cara menyiapkan kurang lebih 50 gram daun meniran yang sudah dibersihkan lalu rebus dengan 3 gelas air hingga air menyusut. Biarkan sampai dingin, lalu saring dan minum 1/2 gelas sebanyak 3 kali sehari. <br> Berikut beberapa olahan lainnya: <br>

https://youtu.be/gYa8TvBEF4E <br>
https://youtu.be/byoJ8LF3Kuo"
11,sambiloto,"Sambiloto merupakan tumbuhan berkhasiat obat berupa terna tegak yang tingginya bisa mencapai 90 sentimeter. Asalnya diduga dari Asia tropika. Tumbuh baik di dataran rendah sampai ketinggian 700 meter dari permukaan laut. Sambiloto dapat tumbuh baik pada curah hujan 2000-3000 mm/tahun dan suhu udara 25-32 derajat Celcius. Kelembapan yang dibutuhkan termasuk sedang, yaitu 70-90% dengan penyinaran agak lama. Nama daerah untuk sambiloto antara lain: sambilata (Melayu); ampadu tanah (Sumatra Barat); sambiloto, ki pait, bidara, andiloto (Jawa Tengah); ki oray (Sunda); kaḍḍâs (Madura), sedangkan nama asingnya Chuan xin lien (Cina).",1. Meredakan panas dalam <br> 2. Mencegah pertumbuhan sel kanker <br> 3. ISPA <br> 4. Sklerosis <br> 5. Pereda nyeri dan mencegah infeksi <br> 6. Baik untuk pencernaan <br> 7. Meningkatkan kekebalan tubuh penderita HIV <br> 8. Meredakan kolitis ulseratif <br> 9. Mengobati diabetes <br> 10. Menjaga kesehatan hati<br> 11. Mengatasi tanda penuaan <br> 12. Meredakan gejala multiple sclerosis,"Pengolahan sambiloto dilakukan dengan mencuci bersih daun sambiloto dengan air mengalir. Lalu masukkan 5 sampai 6 lembar daun sambiloto ke dalam air panas. Tambahkan ½ sendok teh biji jintan, lalu aduk rata. Rebus selama 5–6 menit atau sampai mendidih. Setelah matang, saring air rebusan tersebut. Air rebusan daun sambiloto siap untuk diminum. <br> Berikut beberapa olahan lainnya: <br>

https://youtu.be/reBvdbT4jCQ"
